School Name,State,Tier,Student Count,Head of School Name,Email Address,Phone,Website,Initial Email Sent Date,Email Version Used,Response Status,Response Date,Demo Scheduled Date,Demo Completed,Follow-up 1 Sent,Follow-up 2 Sent,Lead Magnet Sent,Decision Status,Contract Value,Launch Date,Notes,Next Action,Action Due Date
Trinity School of Durham & Chapel Hill,NC,1,TK-12,,,trinityschoolnc.org,,,Teacher Retention Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
St. David's School,NC,1,K-12,,,stdavidsraleigh.org,,,Humility/Character Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Wake Christian Academy,NC,1,500+,,,wakechristianacademy.com,,,50 Years + Compliance Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Gaston Christian School,NC,1,800+,,,gastonchristian.org,,,800 Students + Scholarships Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Heathwood Hall Episcopal School,SC,1,903,,,heathwood.org,,,Episcopal Values Email,,,,,,,,,,,"⭐⭐⭐ TOP PRIORITY - Contact admissions",Send initial email,
Christ School,NC,2,8-12 (boys),,,,,,All-Boys Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Heritage Leadership Academy,NC,2,K-12,,,heritageleadershipacademy.com,,,University Model Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Gramercy Christian School,NC,2,K4-12,,,gramercychristian.org,,,Discipleship Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Nebo Crossing Academy,NC,2,K-12,,,nebocrossingacademy.com,,,Affordable Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Veritas Christian Academy,NC,2,PK-12,,,,,,Classical Virtue Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
HOPE Academy,NC,3,K-12,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Asheville Christian Academy,NC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Coastal Christian School,NC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Grace Christian School,NC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Commission Leadership Academy,NC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Greenville Classical Academy,NC,3,K-12,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Oconee Christian Academy,NC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Turrentine Middle School,NC,3,,,,,,,,,,,,,,,,,"Already in system - potential expansion partner",,
Christ Church Episcopal School,SC,1,"1,227",,,,,,,Episcopal + Family Engagement Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Faith Christian School,SC,1,PK-12,,,faithchristiansc.net,,,Relational Environment Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Greenville Classical Academy,SC,2,K-12,,,greenvilleclassical.com,,,Top 20 Ranking Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Oconee Christian Academy,SC,2,,,,oconeechristian.org,,,Character Development Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Spartanburg Christian Academy,SC,2,,,,scawarriors.org,,,Educating/Equipping Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Mead Hall,SC,3,378,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
James Island Christian School,SC,3,,,,jics.org,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Florence Christian School,SC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Hilton Head Christian Academy,SC,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Immanuel Christian School,VA,1,K-12 (2 campuses),,,icsva.org,,,National Blue Ribbon Email,,,,,,,,,,,"⭐ DC suburbs visibility - Contact admissions",Send initial email,
Dominion Ridge Academy,VA,1,K-12,,,dominionridgeacademy.com,,,Belonging Mission Email,,,,,,,,,,,"⭐⭐ BEST MISSION ALIGNMENT - Contact admissions",Send initial email,
Virginia Academy,VA,1,K-12,,,virginia-academy.com,,,60K Expansion Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
StoneBridge School,VA,2,PreK-12,,,stonebridgeschool.com,,,40 Years Classical Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Ivy League Christian Academy,VA,2,PreK-12,,,ivyleaguechristianacademy.com,,,6-Dimension Development Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Cornerstone Christian School,VA,2,PreK-12,,,ccsconnection.org,,,30 Years + Mission Email,,,,,,,,,,,"Contact admissions for Head of School name",Send initial email,
Covenant Christian Academy,VA,3,K-12 (400+),,,covenantva.org,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Faith Christian Academy,VA,3,,,,fcavirginia.com,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Word of Life Christian Academy,VA,3,,,,wolca.org,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
Roanoke Valley Christian Schools,VA,3,,,,,,,Bulk Template,,,,,,,,,,,"Lower priority - batch send",Send bulk email,
